timestamp,elapsed_sec,latency_ms,type
1767955060.6751401,1417.28,0.02,send_ack_simulated
1767955060.67545,1417.28,0.56,send_ack_simulated
1767955060.6758587,1417.28,0.03,send_ack_simulated
1767955060.676159,1417.28,0.58,send_ack_simulated
1767955088.6862636,1445.29,0.07,send_ack_simulated
1767955088.6876612,1445.30,0.16,send_ack_simulated
1767955088.6888564,1445.30,0.04,send_ack_simulated
1767955088.69043,1445.30,1.10,send_ack_simulated
1767955088.6912158,1445.30,2.15,send_ack_simulated
1767955088.6917195,1445.30,0.45,send_ack_simulated
1767955088.6920142,1445.30,1.14,send_ack_simulated
1767955088.6923542,1445.30,0.94,send_ack_simulated
1767955088.6925256,1445.30,0.38,send_ack_simulated
1767955088.6927066,1445.30,0.34,send_ack_simulated
1767955088.6931016,1445.30,0.35,send_ack_simulated
1767955088.6935232,1445.30,0.04,send_ack_simulated
1767955088.693827,1445.30,0.03,send_ack_simulated
1767955088.6941092,1445.30,0.03,send_ack_simulated
1767955088.6943033,1445.30,0.04,send_ack_simulated
1767955088.694595,1445.30,0.21,send_ack_simulated
1767955088.6947925,1445.30,0.11,send_ack_simulated
1767955088.6949694,1445.30,0.15,send_ack_simulated
1767955088.6951764,1445.30,0.05,send_ack_simulated
1767955088.6956122,1445.30,0.25,send_ack_simulated
1767955088.6957746,1445.30,0.04,send_ack_simulated
1767955116.7054522,1473.31,0.14,send_ack_simulated
1767955116.7069368,1473.32,0.03,send_ack_simulated
1767955116.7083395,1473.32,0.03,send_ack_simulated
1767955116.7089465,1473.32,1.40,send_ack_simulated
1767955116.7093878,1473.32,1.13,send_ack_simulated
1767955116.7096627,1473.32,0.03,send_ack_simulated
1767955116.7099211,1473.32,0.63,send_ack_simulated
1767955116.710207,1473.32,0.25,send_ack_simulated
